CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
815,85000,Vehicle for Business Use,3.8,75000,48
659,27000,Equipment Purchase,6.31,25000,36
738,42000,Childcare Expenses,4.95,39000,60
754,94000,Vehicle for Business Use,2.6,88000,48
623,23000,Education Fees,8.83,20000,48
687,37000,Marketing and Advertising,6.09,35000,36
848,23000,Equipment Purchase,3.64,19000,36
848,19000,Emergency Business Funds,3.04,18000,36
715,45000,Social Enterprise,5.45,36000,36
704,57000,Marketing and Advertising,5.31,56000,24
699,46000,Training and Development,6.54,39000,24
642,80000,Wedding Expenses,7.35,79000,60
796,77000,Community Projects,2.95,64000,24
827,98000,Utility Payments,3.44,85000,12
649,91000,Home Renovation,8.91,77000,60
778,82000,Startup Capital,3.29,72000,24
614,66000,Equipment Purchase,7.83,57000,12
708,86000,Social Enterprise,5.14,70000,12
647,37000,Vehicle for Business Use,8.49,35000,72
684,52000,Inventory Purchase,6.46,50000,24
784,11000,Debt Consolidation,3.89,10000,72
835,99000,Equipment Purchase,3.29,96000,36
777,26000,Green Initiatives,3.41,21000,36
772,81000,Vehicle for Business Use,3.68,78000,72
761,69000,Equipment Purchase,2.79,68000,36
749,99000,Social Enterprise,4.85,85000,24
713,15000,Inventory Purchase,4.84,13000,12
614,36000,Training and Development,7.66,35000,12
778,95000,Agriculture Expenses,3.95,93000,60
848,90000,Emergency Personal Funds,3.28,72000,48
676,83000,Healthcare Expenses,5.89,68000,60
758,26000,Training and Development,2.69,22000,12
801,47000,Vehicle for Business Use,3.34,45000,60
755,53000,Startup Capital,3.37,43000,24
782,96000,Technology Upgrade,3.71,93000,24
761,96000,Travel Costs,3.4,90000,72
687,62000,Childcare Expenses,6.86,57000,72
686,14000,Home Renovation,6.29,13000,72
688,75000,Marketing and Advertising,5.63,66000,12
771,21000,Emergency Personal Funds,2.67,20000,48
848,54000,Agriculture Expenses,3.66,44000,48
772,84000,Utility Payments,2.79,69000,36
767,92000,Debt Consolidation,3.18,89000,48
751,31000,Education Fees,2.75,29000,60
607,7000,Emergency Personal Funds,7.13,5000,72
776,56000,Equipment Purchase,3.52,49000,36
604,77000,Travel Costs,7.22,71000,48
726,63000,Childcare Expenses,5.38,51000,60
839,8000,Home Renovation,2.88,6000,48
769,89000,Startup Capital,3.77,81000,12
655,31000,Social Enterprise,6.53,27000,24
733,78000,Equipment Purchase,4.52,69000,24
648,95000,Community Projects,8.85,93000,24
674,11000,Training and Development,6.77,8000,36
674,84000,Agriculture Expenses,5.75,77000,60
644,47000,Startup Capital,7.11,37000,24
737,38000,Startup Capital,4.35,33000,24
673,38000,Childcare Expenses,6.04,37000,60
730,72000,Green Initiatives,4.64,60000,24
770,72000,Community Projects,2.51,65000,36
642,57000,Healthcare Expenses,7.27,53000,48
606,80000,Utility Payments,7.29,65000,24
724,81000,Equipment Purchase,5.06,72000,12
641,34000,Marketing and Advertising,8.79,29000,36
645,95000,Vehicle for Business Use,7.56,91000,72
740,71000,Green Initiatives,4.77,63000,12
613,64000,Utility Payments,8.79,62000,24
849,19000,Travel Costs,2.88,17000,72
729,73000,Technology Upgrade,3.97,64000,36
661,8000,Emergency Business Funds,6.67,7000,24
761,99000,Startup Capital,2.62,81000,12
633,31000,Emergency Personal Funds,8.29,29000,60
740,84000,Education Fees,5.19,81000,60
616,20000,Green Initiatives,7.02,18000,12
803,21000,Healthcare Expenses,2.51,19000,48
603,35000,Business Expansion,7.76,28000,60
706,20000,Startup Capital,4.03,18000,12
849,69000,Wedding Expenses,3.68,57000,60
704,81000,Emergency Personal Funds,4.18,76000,60
753,13000,Wedding Expenses,2.94,10000,48
646,76000,Social Enterprise,8.05,63000,36
725,15000,Education Fees,4.54,14000,72
827,48000,Home Renovation,2.8,41000,72
850,70000,Equipment Purchase,2.94,64000,12
617,8000,Marketing and Advertising,8.09,7000,36
739,25000,Social Enterprise,4.86,22000,36
684,54000,Inventory Purchase,5.71,46000,24
638,12000,Home Renovation,7.47,10000,60
788,61000,Agriculture Expenses,3.59,60000,72
758,51000,Marketing and Advertising,2.55,47000,24
827,42000,Inventory Purchase,2.91,38000,24
803,60000,Debt Consolidation,2.89,58000,72
813,6000,Home Renovation,3.32,5000,60
663,89000,Working Capital,6.39,83000,36
614,67000,Childcare Expenses,8.51,59000,72
811,97000,Technology Upgrade,3.6,85000,24
659,43000,Travel Costs,6.85,37000,60
632,60000,Equipment Purchase,8.13,52000,12
786,32000,Green Initiatives,3.36,26000,24
728,78000,Debt Consolidation,4.27,69000,60
764,82000,Emergency Business Funds,3.68,72000,24
777,47000,Emergency Personal Funds,3.49,45000,60
658,52000,Emergency Business Funds,6.04,41000,12
746,96000,Working Capital,4.92,92000,36
842,94000,Healthcare Expenses,4.0,77000,60
618,42000,Community Projects,8.94,38000,36
701,39000,Green Initiatives,5.4,32000,24
684,21000,Emergency Business Funds,6.93,19000,36
742,78000,Emergency Personal Funds,5.13,75000,48
748,88000,Home Renovation,5.19,78000,72
832,91000,Working Capital,3.67,87000,36
847,81000,Education Fees,2.77,80000,48
760,6000,Utility Payments,3.18,4000,12
758,60000,Startup Capital,3.38,50000,12
841,35000,Social Enterprise,2.92,32000,12
600,34000,Utility Payments,6.97,31000,24
612,36000,Business Expansion,7.59,31000,60
676,43000,Technology Upgrade,6.16,36000,36
753,90000,Equipment Purchase,3.71,82000,24
683,31000,Technology Upgrade,5.47,25000,24
763,28000,Working Capital,3.62,27000,12
748,52000,Emergency Business Funds,4.48,47000,12
623,39000,Training and Development,7.28,34000,24
632,72000,Childcare Expenses,8.12,58000,48
733,25000,Training and Development,4.68,22000,12
848,16000,Startup Capital,3.84,15000,36
762,44000,Utility Payments,2.9,43000,12
604,37000,Education Fees,6.96,36000,60
673,76000,Healthcare Expenses,6.21,71000,48
791,46000,Marketing and Advertising,3.74,45000,24
812,17000,Working Capital,3.92,14000,36
712,100000,Vehicle for Business Use,4.83,93000,48
781,44000,Business Expansion,3.06,41000,48
847,49000,Emergency Business Funds,2.72,41000,12
764,38000,Childcare Expenses,2.88,31000,72
815,73000,Emergency Personal Funds,2.94,62000,48
612,9000,Emergency Personal Funds,7.55,8000,60
726,34000,Inventory Purchase,5.11,33000,24
722,63000,Education Fees,5.31,54000,48
777,9000,Emergency Business Funds,3.55,8000,24
791,34000,Technology Upgrade,3.07,30000,36
843,28000,Startup Capital,3.05,26000,36
637,38000,Marketing and Advertising,8.37,36000,36
666,91000,Social Enterprise,6.61,76000,24
674,100000,Training and Development,5.47,93000,24
738,90000,Social Enterprise,4.06,82000,12
638,21000,Wedding Expenses,7.73,17000,60
773,59000,Green Initiatives,3.82,47000,12
610,54000,Healthcare Expenses,8.81,48000,60
681,39000,Debt Consolidation,5.79,34000,60
624,79000,Business Expansion,8.76,67000,48
684,40000,Debt Consolidation,6.94,35000,72
609,85000,Working Capital,8.68,84000,36
614,19000,Equipment Purchase,8.46,18000,24
749,68000,Utility Payments,4.7,67000,12
794,45000,Startup Capital,3.25,39000,24
720,14000,Home Renovation,4.17,13000,60
800,36000,Vehicle for Business Use,3.11,31000,60
615,46000,Green Initiatives,7.52,45000,36
842,5000,Healthcare Expenses,3.54,4000,60
750,10000,Social Enterprise,3.62,9000,12
690,79000,Technology Upgrade,6.21,66000,24
620,21000,Travel Costs,8.12,18000,72
657,57000,Healthcare Expenses,5.64,48000,60
753,15000,Marketing and Advertising,3.86,13000,36
836,37000,Education Fees,3.61,35000,48
706,94000,Utility Payments,4.48,88000,36
618,46000,Business Expansion,7.65,43000,60
609,36000,Healthcare Expenses,8.55,35000,60
724,64000,Healthcare Expenses,5.31,59000,60
619,11000,Utility Payments,7.81,9000,36
620,40000,Business Expansion,8.43,32000,72
600,49000,Home Renovation,7.8,45000,48
663,34000,Travel Costs,6.29,29000,60
691,45000,Business Expansion,6.05,36000,60
721,31000,Travel Costs,4.86,26000,48
710,76000,Travel Costs,5.15,75000,48
795,48000,Technology Upgrade,2.67,44000,24
724,19000,Agriculture Expenses,4.49,17000,48
837,27000,Community Projects,3.61,23000,24
742,62000,Green Initiatives,4.98,55000,24
675,38000,Education Fees,5.66,30000,48
843,58000,Healthcare Expenses,3.81,52000,60
846,34000,Inventory Purchase,2.5,30000,36
789,39000,Utility Payments,2.52,33000,24
674,45000,Healthcare Expenses,6.35,37000,60
792,21000,Inventory Purchase,2.91,17000,36
769,63000,Community Projects,3.56,50000,36
785,45000,Childcare Expenses,2.67,42000,48
843,53000,Home Renovation,2.99,51000,72
682,63000,Home Renovation,5.59,56000,48
658,48000,Vehicle for Business Use,6.66,47000,72
787,59000,Social Enterprise,3.33,52000,24
617,30000,Startup Capital,8.71,26000,24
751,79000,Business Expansion,3.25,63000,60
844,41000,Healthcare Expenses,3.67,39000,72
746,64000,Marketing and Advertising,5.43,56000,24
682,19000,Startup Capital,6.8,15000,12
756,17000,Technology Upgrade,3.84,14000,24
797,6000,Education Fees,3.52,5000,48
680,54000,Business Expansion,6.52,50000,72
705,96000,Working Capital,4.46,86000,12
690,57000,Working Capital,6.53,51000,12
806,62000,Emergency Personal Funds,2.92,56000,48
619,99000,Marketing and Advertising,7.97,93000,12
838,76000,Technology Upgrade,3.55,74000,36
837,75000,Debt Consolidation,3.82,74000,72
715,37000,Inventory Purchase,4.71,29000,36
641,50000,Equipment Purchase,8.31,43000,24
752,86000,Marketing and Advertising,3.35,79000,24
738,54000,Emergency Personal Funds,5.3,50000,60
609,14000,Education Fees,8.25,11000,72
772,79000,Technology Upgrade,2.49,67000,36
796,77000,Agriculture Expenses,3.43,63000,60
812,89000,Equipment Purchase,3.64,77000,24
840,9000,Emergency Personal Funds,2.74,8000,48
637,60000,Healthcare Expenses,8.44,52000,72
825,69000,Inventory Purchase,3.15,59000,36
708,92000,Marketing and Advertising,4.01,81000,24
724,57000,Business Expansion,4.67,47000,48
640,21000,Debt Consolidation,7.44,17000,60
683,94000,Working Capital,6.66,89000,24
690,95000,Training and Development,5.75,76000,12
741,100000,Equipment Purchase,4.27,97000,24
651,8000,Emergency Business Funds,5.66,6000,36
833,12000,Home Renovation,3.58,11000,60
668,94000,Green Initiatives,6.05,81000,24
603,99000,Healthcare Expenses,6.99,82000,48
839,47000,Community Projects,2.63,43000,12
818,49000,Agriculture Expenses,3.65,44000,48
838,39000,Community Projects,3.59,38000,24
682,30000,Working Capital,6.73,25000,12
689,8000,Marketing and Advertising,6.83,7000,24
688,50000,Technology Upgrade,6.76,45000,24
844,57000,Home Renovation,3.61,47000,48
733,18000,Community Projects,5.5,16000,36
804,42000,Utility Payments,2.54,34000,12
611,36000,Utility Payments,7.25,33000,12
803,99000,Travel Costs,2.68,86000,48
781,88000,Agriculture Expenses,3.86,70000,48
766,50000,Business Expansion,2.78,44000,60
712,88000,Training and Development,4.51,86000,24
610,85000,Travel Costs,8.28,78000,72
721,30000,Working Capital,4.4,29000,24
660,72000,Business Expansion,6.76,60000,72
751,78000,Green Initiatives,3.57,77000,36
623,83000,Technology Upgrade,7.13,77000,24
735,47000,Healthcare Expenses,4.85,46000,48
834,19000,Utility Payments,3.0,16000,36
686,90000,Marketing and Advertising,6.61,77000,36
630,21000,Community Projects,8.61,20000,24
697,61000,Startup Capital,7.0,58000,24
773,47000,Green Initiatives,2.97,39000,12
661,21000,Emergency Business Funds,5.79,18000,36
604,62000,Travel Costs,8.24,53000,72
849,48000,Utility Payments,3.85,47000,24
753,29000,Startup Capital,3.9,27000,36
721,99000,Marketing and Advertising,5.41,94000,36
694,79000,Utility Payments,6.32,76000,12
803,70000,Marketing and Advertising,2.71,63000,24
814,84000,Wedding Expenses,3.51,74000,48
810,12000,Training and Development,3.5,10000,24
680,96000,Agriculture Expenses,6.93,92000,72
761,83000,Education Fees,2.6,78000,48
664,23000,Emergency Business Funds,5.97,21000,24
736,67000,Green Initiatives,4.38,65000,24
630,38000,Healthcare Expenses,7.36,34000,48
817,74000,Social Enterprise,3.34,73000,24
685,22000,Emergency Personal Funds,6.84,18000,60
820,31000,Agriculture Expenses,3.0,28000,72
675,30000,Marketing and Advertising,6.6,29000,24
828,46000,Training and Development,3.74,39000,24
849,47000,Community Projects,3.1,44000,24
785,12000,Training and Development,3.76,10000,12
752,40000,Debt Consolidation,3.45,34000,48
657,19000,Working Capital,6.26,15000,12
751,17000,Inventory Purchase,3.16,15000,24
837,33000,Agriculture Expenses,3.21,26000,72
729,29000,Working Capital,4.66,26000,12
656,95000,Inventory Purchase,6.52,88000,36
831,81000,Vehicle for Business Use,3.87,74000,72
610,95000,Training and Development,8.63,83000,24
713,92000,Social Enterprise,4.94,90000,24
751,52000,Working Capital,3.49,43000,36
793,53000,Healthcare Expenses,2.75,49000,48
803,66000,Training and Development,3.19,56000,12
811,38000,Inventory Purchase,3.14,37000,36
793,46000,Agriculture Expenses,2.48,42000,48
750,5000,Utility Payments,2.97,4000,24
640,26000,Healthcare Expenses,8.7,25000,60
726,79000,Startup Capital,4.29,69000,24
711,56000,Business Expansion,4.52,45000,60
718,22000,Technology Upgrade,4.51,21000,36
784,78000,Education Fees,3.05,74000,60
833,60000,Wedding Expenses,3.93,55000,48
847,17000,Agriculture Expenses,2.5,16000,48
802,20000,Emergency Business Funds,3.89,17000,36
779,75000,Marketing and Advertising,3.14,72000,12
741,78000,Wedding Expenses,4.86,69000,60
722,6000,Healthcare Expenses,4.21,5000,48
729,93000,Training and Development,4.27,82000,24
763,85000,Vehicle for Business Use,3.58,68000,48
809,63000,Education Fees,3.08,52000,72
761,45000,Working Capital,3.55,44000,36
728,60000,Wedding Expenses,4.81,53000,72
647,99000,Training and Development,7.32,96000,24
671,68000,Debt Consolidation,6.29,63000,60
654,87000,Community Projects,6.22,70000,36
683,84000,Emergency Business Funds,6.29,67000,24
844,12000,Education Fees,2.96,11000,60
807,9000,Vehicle for Business Use,3.68,8000,72
846,61000,Working Capital,2.91,60000,24
695,16000,Business Expansion,6.56,14000,72
631,31000,Emergency Business Funds,7.17,29000,36
788,96000,Childcare Expenses,3.76,87000,48
824,75000,Vehicle for Business Use,2.49,60000,60
727,25000,Travel Costs,5.3,22000,72
660,86000,Training and Development,6.33,78000,24
615,51000,Emergency Business Funds,7.18,50000,36
786,74000,Technology Upgrade,2.84,70000,12
702,99000,Green Initiatives,4.37,94000,36
652,51000,Vehicle for Business Use,5.53,49000,72
708,96000,Vehicle for Business Use,5.08,94000,72
819,14000,Marketing and Advertising,3.24,13000,36
697,57000,Childcare Expenses,5.97,45000,48
803,58000,Vehicle for Business Use,3.46,55000,72
673,18000,Wedding Expenses,5.63,16000,60
810,55000,Training and Development,3.67,45000,36
689,35000,Utility Payments,6.33,31000,36
754,50000,Working Capital,3.45,41000,36
792,100000,Training and Development,3.83,85000,24
743,38000,Community Projects,4.26,36000,36
656,86000,Healthcare Expenses,6.68,69000,48
833,34000,Business Expansion,3.57,31000,60
740,92000,Equipment Purchase,4.32,73000,12
799,97000,Travel Costs,3.31,79000,48
738,77000,Travel Costs,5.16,65000,48
769,85000,Debt Consolidation,2.82,70000,60
678,36000,Equipment Purchase,5.79,35000,24
767,53000,Technology Upgrade,3.94,51000,12
799,95000,Debt Consolidation,2.73,85000,60
807,33000,Childcare Expenses,2.99,28000,72
601,76000,Green Initiatives,7.98,65000,36
659,63000,Startup Capital,6.55,62000,24
731,49000,Emergency Personal Funds,5.07,40000,48
748,64000,Social Enterprise,5.31,54000,12
623,72000,Equipment Purchase,7.36,64000,36
776,32000,Agriculture Expenses,3.81,28000,60
697,69000,Utility Payments,5.56,67000,36
773,76000,Education Fees,3.48,71000,72
617,20000,Emergency Business Funds,7.42,19000,36
811,68000,Working Capital,3.69,58000,24
740,15000,Green Initiatives,4.29,14000,12
638,40000,Vehicle for Business Use,8.06,38000,72
850,33000,Healthcare Expenses,3.21,28000,72
748,96000,Community Projects,5.32,89000,12
733,32000,Childcare Expenses,4.49,27000,60
685,5000,Emergency Personal Funds,6.18,4000,72
701,76000,Marketing and Advertising,5.1,63000,36
780,66000,Education Fees,3.18,64000,72
627,76000,Travel Costs,7.47,70000,48
808,100000,Vehicle for Business Use,3.61,82000,48
692,61000,Education Fees,5.67,56000,48
678,7000,Childcare Expenses,6.52,6000,48
655,91000,Community Projects,6.92,87000,36
829,57000,Home Renovation,2.74,50000,48
690,12000,Emergency Personal Funds,6.05,10000,48
808,85000,Equipment Purchase,3.1,82000,36
801,38000,Green Initiatives,3.84,34000,36
729,55000,Education Fees,5.25,46000,72
639,86000,Emergency Business Funds,8.69,70000,36
831,44000,Training and Development,2.58,41000,24
838,63000,Education Fees,3.76,53000,60
785,70000,Inventory Purchase,3.16,60000,24
659,53000,Utility Payments,6.1,52000,36
812,69000,Agriculture Expenses,3.66,55000,60
687,52000,Green Initiatives,6.85,50000,36
724,40000,Travel Costs,4.58,36000,72
763,93000,Emergency Personal Funds,2.73,81000,48
603,100000,Training and Development,7.92,88000,36
746,86000,Debt Consolidation,4.07,71000,72
730,46000,Equipment Purchase,4.4,38000,36
617,62000,Utility Payments,7.89,53000,36
692,60000,Healthcare Expenses,5.84,56000,48
714,63000,Emergency Business Funds,4.1,53000,12
623,100000,Business Expansion,7.03,90000,60
690,10000,Agriculture Expenses,6.54,9000,72
796,36000,Home Renovation,2.6,30000,48
670,85000,Marketing and Advertising,5.64,84000,12
829,29000,Emergency Business Funds,3.28,23000,12
639,93000,Utility Payments,6.99,88000,36
700,42000,Equipment Purchase,4.71,36000,36
674,17000,Community Projects,5.73,15000,36
711,86000,Debt Consolidation,5.39,75000,60
764,20000,Travel Costs,3.59,17000,72
690,82000,Debt Consolidation,5.6,66000,48
837,34000,Debt Consolidation,3.83,29000,48
694,97000,Training and Development,6.55,88000,36
818,8000,Business Expansion,2.6,7000,60
652,22000,Childcare Expenses,6.53,20000,60
813,45000,Training and Development,2.63,44000,24
680,20000,Healthcare Expenses,6.05,18000,60
661,39000,Childcare Expenses,5.49,36000,72
777,47000,Community Projects,3.52,46000,36
610,92000,Training and Development,6.96,73000,36
720,42000,Marketing and Advertising,4.6,40000,24
645,17000,Equipment Purchase,7.3,13000,24
744,74000,Working Capital,4.76,68000,36
715,75000,Social Enterprise,5.26,70000,24
849,83000,Emergency Business Funds,2.79,81000,12
620,23000,Wedding Expenses,7.65,19000,48
778,61000,Training and Development,3.4,58000,36
820,28000,Equipment Purchase,2.73,23000,36
793,92000,Community Projects,3.21,85000,36
848,46000,Emergency Business Funds,3.11,40000,12
829,56000,Travel Costs,3.19,46000,72
713,31000,Training and Development,5.28,25000,36
791,34000,Working Capital,2.47,27000,36
730,93000,Travel Costs,5.36,90000,60
715,51000,Equipment Purchase,4.39,47000,24
691,36000,Wedding Expenses,6.3,29000,60
652,97000,Inventory Purchase,6.15,82000,24
650,41000,Travel Costs,6.11,39000,48
682,81000,Emergency Business Funds,6.45,72000,12
850,8000,Technology Upgrade,3.74,7000,12
762,32000,Home Renovation,3.22,26000,60
837,48000,Wedding Expenses,2.49,45000,72
611,17000,Wedding Expenses,7.12,16000,60
748,74000,Education Fees,5.21,72000,72
815,72000,Debt Consolidation,2.56,63000,60
661,39000,Education Fees,6.12,36000,60
803,30000,Emergency Business Funds,2.73,26000,12
780,69000,Debt Consolidation,2.85,68000,60
678,39000,Community Projects,7.0,34000,36
729,63000,Emergency Business Funds,4.4,62000,24
729,78000,Home Renovation,5.38,67000,72
835,33000,Working Capital,2.56,27000,36
742,90000,Travel Costs,4.66,75000,72
746,82000,Healthcare Expenses,4.91,69000,48
683,37000,Inventory Purchase,6.43,34000,12
791,14000,Technology Upgrade,3.14,11000,12
744,82000,Equipment Purchase,4.06,71000,36
801,54000,Working Capital,2.92,48000,36
768,97000,Marketing and Advertising,3.53,93000,36
775,42000,Childcare Expenses,3.59,40000,72
673,77000,Agriculture Expenses,6.35,71000,48
627,95000,Vehicle for Business Use,7.01,77000,48
717,59000,Training and Development,4.73,53000,12
832,28000,Emergency Personal Funds,3.26,27000,72
775,34000,Equipment Purchase,2.53,27000,12
789,56000,Travel Costs,2.67,48000,48
645,68000,Debt Consolidation,8.55,58000,60
807,91000,Business Expansion,2.77,83000,60
752,63000,Startup Capital,3.25,52000,36
684,14000,Technology Upgrade,6.79,13000,24
649,12000,Vehicle for Business Use,8.14,11000,48
665,33000,Green Initiatives,5.86,30000,24
769,59000,Marketing and Advertising,3.52,53000,24
830,41000,Utility Payments,3.75,35000,24
727,16000,Social Enterprise,5.28,15000,36
608,33000,Equipment Purchase,7.68,30000,12
707,100000,Wedding Expenses,4.26,90000,60
757,85000,Childcare Expenses,2.9,73000,72
610,94000,Emergency Business Funds,7.99,82000,12
705,26000,Wedding Expenses,4.35,21000,72
782,6000,Equipment Purchase,2.55,5000,36
716,61000,Working Capital,5.32,52000,24
617,60000,Travel Costs,8.59,48000,72
605,77000,Vehicle for Business Use,9.0,75000,60
729,53000,Emergency Business Funds,4.68,47000,24
831,11000,Inventory Purchase,4.0,9000,36
744,91000,Wedding Expenses,4.42,81000,60
669,62000,Debt Consolidation,6.3,51000,60
664,17000,Wedding Expenses,5.83,14000,60
827,44000,Utility Payments,3.14,43000,36
844,50000,Agriculture Expenses,2.82,48000,60
639,60000,Agriculture Expenses,7.06,58000,72
754,34000,Agriculture Expenses,3.48,27000,60
838,51000,Green Initiatives,3.88,45000,24
679,98000,Travel Costs,5.76,88000,48
610,5000,Travel Costs,7.45,4000,60
838,12000,Emergency Business Funds,3.09,9000,36
633,52000,Healthcare Expenses,8.08,47000,48
738,28000,Wedding Expenses,5.1,24000,48
654,16000,Wedding Expenses,6.25,15000,72
679,78000,Childcare Expenses,6.52,64000,60
826,68000,Marketing and Advertising,3.42,63000,12
766,65000,Education Fees,3.14,56000,72
715,43000,Vehicle for Business Use,5.24,38000,48
693,45000,Technology Upgrade,6.65,38000,36
829,78000,Community Projects,3.67,72000,12
850,7000,Education Fees,3.48,5000,48
849,47000,Training and Development,3.59,39000,36
683,35000,Equipment Purchase,6.78,30000,12
684,47000,Inventory Purchase,5.8,44000,36
826,52000,Healthcare Expenses,3.4,48000,60
613,81000,Wedding Expenses,7.98,71000,48
636,27000,Wedding Expenses,7.75,23000,60
679,34000,Equipment Purchase,5.85,33000,24
848,37000,Working Capital,3.83,36000,12
699,20000,Emergency Personal Funds,6.44,18000,48
625,85000,Childcare Expenses,8.58,83000,60
752,32000,Healthcare Expenses,3.53,28000,72
736,91000,Vehicle for Business Use,5.3,90000,48
715,18000,Community Projects,5.31,14000,24
675,17000,Marketing and Advertising,5.5,16000,36
610,18000,Equipment Purchase,8.17,15000,24
664,60000,Working Capital,5.79,51000,12
762,46000,Social Enterprise,3.79,43000,24
733,87000,Debt Consolidation,4.31,86000,60
621,39000,Inventory Purchase,7.25,33000,24
763,80000,Wedding Expenses,3.95,75000,48
627,47000,Childcare Expenses,7.23,44000,60
618,10000,Social Enterprise,8.25,8000,12
675,24000,Agriculture Expenses,6.05,23000,60
646,86000,Debt Consolidation,7.68,80000,48
760,20000,Technology Upgrade,2.71,17000,24
750,57000,Green Initiatives,2.6,55000,36
665,81000,Technology Upgrade,6.94,76000,24
622,18000,Home Renovation,8.11,16000,72
716,41000,Equipment Purchase,4.01,33000,24
663,14000,Emergency Personal Funds,5.94,13000,72
652,5000,Emergency Business Funds,5.73,4000,36
664,28000,Utility Payments,6.34,26000,12
707,20000,Healthcare Expenses,4.34,18000,48
774,36000,Business Expansion,3.22,33000,72
794,21000,Social Enterprise,3.4,17000,24
686,93000,Marketing and Advertising,6.39,81000,24
604,64000,Marketing and Advertising,6.98,57000,12
614,7000,Inventory Purchase,8.18,6000,12
847,94000,Inventory Purchase,3.85,81000,36
760,33000,Wedding Expenses,2.46,29000,60
758,21000,Debt Consolidation,3.62,19000,72
697,96000,Education Fees,6.02,86000,72
830,41000,Education Fees,3.82,34000,72
632,99000,Inventory Purchase,7.09,96000,24
719,88000,Working Capital,5.09,77000,24
710,65000,Technology Upgrade,5.1,58000,36
674,56000,Healthcare Expenses,6.53,47000,48
786,13000,Working Capital,3.32,12000,12
833,84000,Inventory Purchase,3.02,79000,12
822,84000,Wedding Expenses,3.66,70000,72
615,32000,Emergency Business Funds,8.54,26000,12
766,25000,Home Renovation,3.27,23000,48
805,92000,Marketing and Advertising,3.92,87000,36
829,99000,Healthcare Expenses,2.75,93000,48
819,54000,Home Renovation,2.7,52000,48
652,33000,Green Initiatives,5.64,30000,24
702,96000,Agriculture Expenses,4.04,78000,60
695,7000,Utility Payments,6.79,6000,12
784,65000,Childcare Expenses,3.95,59000,48
638,41000,Community Projects,7.89,36000,24
679,49000,Equipment Purchase,6.24,47000,36
808,32000,Agriculture Expenses,3.07,29000,60
755,68000,Working Capital,3.37,56000,24
842,20000,Training and Development,3.5,16000,36
620,60000,Childcare Expenses,8.7,53000,48
675,89000,Social Enterprise,6.82,78000,12
814,14000,Vehicle for Business Use,3.17,12000,72
602,48000,Marketing and Advertising,7.56,41000,12
763,51000,Green Initiatives,2.61,41000,24
794,55000,Working Capital,3.33,46000,36
803,35000,Travel Costs,3.08,33000,48
776,16000,Vehicle for Business Use,3.5,13000,72
642,65000,Education Fees,8.53,64000,48
604,95000,Wedding Expenses,7.89,93000,72
622,88000,Green Initiatives,8.09,84000,24
760,63000,Business Expansion,2.93,61000,60
730,71000,Vehicle for Business Use,4.95,62000,60
634,14000,Vehicle for Business Use,8.45,13000,72
839,24000,Healthcare Expenses,2.56,21000,48
652,8000,Agriculture Expenses,6.47,6000,60
652,47000,Marketing and Advertising,6.04,39000,24
702,6000,Community Projects,5.4,5000,36
689,65000,Training and Development,6.42,58000,12
724,27000,Startup Capital,4.81,25000,36
849,28000,Green Initiatives,2.83,26000,12
739,91000,Marketing and Advertising,4.26,89000,24
754,77000,Social Enterprise,3.03,75000,12
673,55000,Social Enterprise,6.4,46000,36
809,56000,Training and Development,3.29,55000,36
736,81000,Green Initiatives,5.4,77000,24
836,17000,Equipment Purchase,3.57,16000,36
733,95000,Technology Upgrade,5.22,91000,36
802,74000,Travel Costs,3.31,60000,60
759,49000,Emergency Business Funds,3.68,41000,36
754,55000,Training and Development,2.78,48000,36
842,9000,Green Initiatives,3.87,7000,24
744,61000,Emergency Business Funds,5.26,54000,36
621,56000,Emergency Business Funds,8.02,49000,36
609,68000,Travel Costs,8.16,61000,48
745,57000,Equipment Purchase,4.02,49000,24
619,91000,Business Expansion,8.47,89000,60
817,14000,Inventory Purchase,2.76,13000,36
849,72000,Travel Costs,2.88,60000,48
774,7000,Social Enterprise,3.35,6000,36
692,99000,Technology Upgrade,6.48,94000,24
832,81000,Business Expansion,3.62,75000,60
604,52000,Equipment Purchase,8.88,46000,12
694,60000,Inventory Purchase,6.82,48000,12
602,87000,Wedding Expenses,8.77,84000,72
609,32000,Emergency Business Funds,7.66,30000,24
778,68000,Emergency Business Funds,3.1,63000,36
779,92000,Green Initiatives,3.21,78000,12
732,92000,Startup Capital,4.92,78000,12
749,6000,Equipment Purchase,4.37,5000,12
694,100000,Working Capital,6.46,86000,24
624,12000,Marketing and Advertising,8.14,10000,12
774,32000,Green Initiatives,3.6,29000,12
804,64000,Startup Capital,2.9,56000,24
711,93000,Utility Payments,5.27,75000,24
635,45000,Wedding Expenses,7.08,42000,72
721,48000,Marketing and Advertising,5.44,43000,12
847,66000,Vehicle for Business Use,3.53,61000,60
764,57000,Travel Costs,3.38,45000,60
632,38000,Social Enterprise,6.99,36000,36
715,47000,Green Initiatives,5.4,43000,12
632,96000,Home Renovation,8.65,89000,72
674,18000,Training and Development,5.93,17000,12
815,51000,Emergency Personal Funds,2.66,48000,60
781,30000,Agriculture Expenses,2.94,27000,60
812,90000,Community Projects,2.99,72000,12
686,63000,Home Renovation,5.93,54000,48
690,15000,Community Projects,5.88,14000,12
